ID;LAT;LNG;BANCO;RED;DOM_ORIG;DOM_GEO;TERMINALES;WEB;ACTUALIZAC;DOM_NORMA;BARRIO;COMUNA;CODIGO_POSTAL;CODIGO_POSTAL_ARGENTINO
696;-34,575382139039228;-58,484330356620148;BANCO DE LA PROVINCIA DE BUENOS AIRES;LINK;TRIUNVIRATO AV. 4501;4501 TRIUNVIRATO AV.;0;HTTP://WWW.REDLINK.COM.AR/;MAY-13;TRIUNVIRATO AV. 4501;VILLA URQUIZA;COMUNA 12;1431;C1431FBI
697;-34,573597729666417;-58,487564809960865;BANCO DE LA NACION ARGENTINA;LINK;TRIUNVIRATO AV. 4802;4802 TRIUNVIRATO AV.;0;HTTP://WWW.REDLINK.COM.AR/;MAY-13;TRIUNVIRATO AV. 4802;VILLA URQUIZA;COMUNA 12;1431;C1431FCO
698;-34,573578907216046;-58,490688715439042;CABAL COOP. LTDA.;LINK;BUCARELLI 2696;2696 BUCARELLI;0;HTTP://WWW.REDLINK.COM.AR/;MAY-13;BUCARELLI 2696;VILLA URQUIZA;COMUNA 12;1431;C1431DRF
699;-34,575129126749957;-58,485490407767976;BANCO DE LA CIUDAD DE BUENOS AIRES;LINK;TRIUNVIRATO AV. 4600;4600 TRIUNVIRATO AV.;0;HTTP://WWW.REDLINK.COM.AR/;MAY-13;TRIUNVIRATO AV. 4600;VILLA URQUIZA;COMUNA 12;1431;C1431FBV
700;-34,659958184889248;-58,441977864296433;BANCO DE LA PROVINCIA DE BUENOS AIRES;LINK;LAFUENTE 2862;2862 LAFUENTE;0;HTTP://WWW.REDLINK.COM.AR/;MAY-13;LAFUENTE 2862;VILLA SOLDATI;COMUNA 8;1437;C1437BUS
701;-34,661991281273167;-58,445506949628928;CABAL COOP. LTDA.;LINK;FERNANDEZ DE LA CRUZ, F., GRAL. AV. 3314;3314 FERNANDEZ DE LA CRUZ, F., GRAL. AV.;0;HTTP://WWW.REDLINK.COM.AR/;MAY-13;FERNANDEZ DE LA CRUZ, F., GRAL. AV. 3314;VILLA SOLDATI;COMUNA 8;1437;C1437GZZ
702;-34,666037259692999;-58,440155162091642;BANCO DE LA CIUDAD DE BUENOS AIRES;LINK;RABANAL, FRANCISCO, INTENDENTE AV. Y PERGAMINO;RABANAL, FRANCISCO, INTENDENTE AV. & PERGAMINO;0;HTTP://WWW.REDLINK.COM.AR/;MAY-13;RABANAL, FRANCISCO, INTENDENTE AV. Y PERGAMINO;VILLA SOLDATI;COMUNA 8;;
703;-34,612370716948895;-58,480920035483528;BANCO DE LA NACION ARGENTINA;LINK;NAZCA AV. 1914;1914 NAZCA AV.;0;HTTP://WWW.REDLINK.COM.AR/;MAY-13;NAZCA AV. 1914;VILLA SANTA RITA;COMUNA 11;1416;C1416ASV
704;-34,609380093388943;-58,483288810547627;CABAL COOP. LTDA.;LINK;NAZCA AV. 2208;2208 NAZCA AV.;0;HTTP://WWW.REDLINK.COM.AR/;MAY-13;NAZCA AV. 2208;VILLA SANTA RITA;COMUNA 11;1416;C1416ASY
705;-34,593179068429428;-58,50599423597648;BANCO DE LA CIUDAD DE BUENOS AIRES;LINK;LLAVALLOL 4307;4307 LLAVALLOL;0;HTTP://WWW.REDLINK.COM.AR/;MAY-13;LLAVALLOL 4307;VILLA DEVOTO;COMUNA 11;1419;C1419AKG
706;-34,585380371404696;-58,501085743512277;CABAL COOP. LTDA.;LINK;MOSCONI GENERAL AV. 2793;2793 MOSCONI GENERAL AV.;0;HTTP://WWW.REDLINK.COM.AR/;MAY-13;MOSCONI GENERAL AV. 2793;VILLA PUEYRREDON;COMUNA 12;1419;C1419EQG
707;-34,575697042736806;-58,499901386865751;BANCO DE LA NACION ARGENTINA;LINK;DE LOS CONSTITUYENTES AV. 5451;5451 DE LOS CONSTITUYENTES AV.;0;HTTP://WWW.REDLINK.COM.AR/;MAY-13;DE LOS CONSTITUYENTES AV. 5451;VILLA URQUIZA;COMUNA 12;1431;C1431EZF
708;-34,585836447776934;-58,471904756826703;BANCO DE LA CIUDAD DE BUENOS AIRES;LINK;COMBATIENTES DE MALVINAS AV. 3062;3062 COMBATIENTES DE MALVINAS AV.;0;HTTP://WWW.REDLINK.COM.AR/;MAY-13;COMBATIENTES DE MALVINAS AV. 3062;PARQUE CHAS;COMUNA 15;1431;C1431FTA
709;-34,578793448133041;-58,46930704491335;BANCO DE LA NACION ARGENTINA;LINK;ALVAREZ THOMAS AV. 1994;1994 ALVAREZ THOMAS AV.;0;HTTP://WWW.REDLINK.COM.AR/;MAY-13;ALVAREZ THOMAS AV. 1994;VILLA ORTUZAR;COMUNA 15;1427;C1427CDT
